Name,Age,Department,Salary,Performance_Score,Years_At_Company
Mona,34.0,Marketing,96153,99.0,5
Omar,38.0,Finance,76404,98.0,10
Fahad,29.0,Sales,36309,84.0,2
Lina,28.0,IT,114675,81.0,0
Mona,29.0,Sales,98326,93.0,4
Khalid,33.0,Sales,37826,79.0,7
Zara,29.0,Finance,42134,95.0,7
Mona,30.0,Marketing,49693,96.0,7
Fahad,34.0,Sales,34054,98.0,2
Lina,27.0,Marketing,46090,86.0,14
Omar,37.0,HR,119344,91.0,7
Fahad,33.0,Marketing,45569,88.0,3
Fahad,21.0,IT,62227,100.0,14
Zara,27.0,IT,36508,91.0,7
Hassan,20.0,Sales,46608,83.0,2
Lina,29.0,Marketing,119059,62.0,2
Sara,28.0,Sales,105969,86.0,0
Fahad,34.0,Finance,54520,68.0,7
Hassan,26.0,IT,107424,99.0,7
Sara,,Sales,60932,82.0,8
Lina,33.0,Finance,49734,66.0,5
Ali,31.0,Sales,99363,76.0,11
Khalid,36.0,Marketing,80555,96.0,1
Hassan,40.0,Marketing,46257,66.0,0
Noor,31.0,Marketing,62194,,7
Ali,32.0,Marketing,46793,72.0,9
Khalid,26.0,HR,64684,77.0,3
Zara,25.0,Finance,83219,90.0,10
Mona,35.0,Finance,32859,81.0,13
Omar,35.0,Marketing,69840,73.0,10
Noor,25.0,HR,89327,77.0,6
Zara,23.0,Marketing,64819,94.0,13
Lina,27.0,HR,115621,76.0,9
Zara,29.0,Marketing,103750,78.0,14
Mona,28.0,IT,71704,90.0,11
Lina,31.0,IT,96137,98.0,3
Noor,35.0,Sales,90379,95.0,0
Mona,32.0,Marketing,54318,74.0,7
Sara,33.0,Finance,110987,88.0,9
Omar,18.0,Sales,93956,99.0,13
Noor,22.0,IT,35274,75.0,8
Sara,26.0,Marketing,48226,,9
Khalid,27.0,Sales,73634,84.0,14
Noor,34.0,Marketing,94501,75.0,8
Khalid,26.0,IT,49046,89.0,8
Lina,33.0,Sales,104210,93.0,11
Sara,26.0,IT,114559,61.0,11
Omar,24.0,HR,51910,99.0,10
Mona,24.0,IT,41503,97.0,10
Fahad,41.0,Marketing,78392,77.0,11
Zara,26.0,Finance,91472,64.0,3
Ali,33.0,IT,100904,99.0,14
Omar,22.0,Finance,119063,65.0,8
Sara,37.0,HR,75335,71.0,10
Fahad,32.0,Sales,52487,71.0,3
Omar,31.0,Sales,66593,71.0,1
Sara,32.0,Finance,105927,68.0,9
Hassan,33.0,Sales,39874,81.0,2
Hassan,34.0,IT,84822,75.0,1
Khalid,27.0,Finance,83948,63.0,13
Omar,27.0,Marketing,33608,62.0,0
Hassan,30.0,IT,84501,75.0,10
Sara,33.0,IT,83912,73.0,5
Khalid,30.0,IT,57546,100.0,3
Sara,,Marketing,98203,97.0,6
Khalid,33.0,HR,92496,63.0,6
Omar,29.0,Sales,85186,61.0,13
Fahad,21.0,Finance,72346,69.0,9
Mona,27.0,HR,35230,70.0,0
Noor,39.0,Finance,55720,98.0,11
Fahad,32.0,Sales,73023,85.0,12
Lina,27.0,Marketing,67602,96.0,8
Sara,31.0,IT,97082,85.0,7
Lina,33.0,IT,45050,63.0,9
Fahad,27.0,Marketing,81315,85.0,0
Khalid,36.0,HR,82164,97.0,14
Noor,32.0,HR,60134,87.0,12
Noor,25.0,Finance,45640,61.0,7
Ali,34.0,Marketing,116364,61.0,4
Noor,28.0,HR,91671,75.0,0
Mona,29.0,Marketing,44284,82.0,14
Noor,25.0,Sales,90526,82.0,3
Fahad,33.0,IT,33423,72.0,6
Ali,29.0,IT,58577,80.0,13
Fahad,33.0,IT,88900,98.0,11
Fahad,27.0,Marketing,114606,84.0,4
Zara,27.0,Marketing,97868,96.0,10
Ali,26.0,Finance,36066,72.0,2
Fahad,32.0,IT,113576,74.0,11
Zara,27.0,Finance,87888,87.0,10
Zara,29.0,IT,38583,62.0,3
Ali,27.0,Finance,68057,82.0,1
Lina,32.0,Finance,52604,63.0,7
Khalid,21.0,Sales,56564,62.0,11
Mona,31.0,Finance,91429,,1
Khalid,39.0,Marketing,118393,67.0,13
Noor,36.0,Finance,58941,84.0,12
Mona,27.0,IT,85511,100.0,10
Noor,32.0,Finance,67962,71.0,5
Fahad,,HR,68573,64.0,13
Sara,37.0,IT,55692,92.0,6
Ali,17.0,HR,88420,84.0,6
Mona,36.0,IT,112415,84.0,12
Mona,29.0,Marketing,65763,94.0,0
Fahad,,Marketing,112013,74.0,7
Lina,26.0,Marketing,75680,85.0,8
Zara,24.0,HR,36393,69.0,13
Fahad,27.0,Sales,63488,83.0,13
Hassan,25.0,IT,51459,94.0,6
Zara,31.0,Marketing,42554,88.0,12
Ali,33.0,IT,67867,97.0,7
Zara,29.0,HR,108104,64.0,3
Lina,37.0,Sales,75015,83.0,11
Zara,27.0,HR,35057,78.0,7
Ali,28.0,IT,113026,68.0,2
Lina,28.0,Sales,35305,85.0,12
Khalid,33.0,Sales,91276,84.0,0
Mona,33.0,HR,62740,94.0,12
Mona,32.0,Marketing,54118,95.0,12
Noor,29.0,IT,36674,73.0,7
Khalid,23.0,Finance,72331,65.0,14
Khalid,28.0,Finance,45316,91.0,10
Zara,37.0,HR,46217,,11
Mona,35.0,IT,97541,74.0,5
Ali,31.0,IT,44602,90.0,8
Omar,28.0,HR,117181,96.0,2
Omar,,IT,43987,97.0,7
Lina,28.0,Marketing,79915,96.0,8
Mona,36.0,HR,43543,78.0,8
Mona,26.0,Marketing,57944,73.0,11
Omar,35.0,IT,88241,95.0,13
Mona,27.0,HR,39144,96.0,13
Zara,37.0,IT,68459,70.0,6
Hassan,32.0,HR,69827,86.0,11
Sara,26.0,IT,60741,61.0,10
Khalid,28.0,Marketing,100015,81.0,9
Noor,34.0,Marketing,99734,61.0,2
Lina,28.0,IT,104627,79.0,2
Hassan,30.0,HR,99741,76.0,1
Omar,27.0,Finance,99177,63.0,0
Khalid,39.0,Marketing,33543,73.0,12
Mona,40.0,Marketing,35591,66.0,1
Noor,37.0,Finance,86395,74.0,4
Mona,29.0,IT,90434,89.0,0
Ali,28.0,HR,59055,75.0,9
Ali,26.0,IT,36116,99.0,3
Noor,38.0,Sales,85485,61.0,10
Noor,35.0,Marketing,96297,78.0,9
Omar,35.0,Sales,32407,60.0,9
Noor,29.0,Marketing,61594,90.0,0
Zara,21.0,Marketing,96421,63.0,11
